Name,Type,Latitude,Longitude
Parking Lot,Parking Lot,58.4540833360039,-135.88564791471
Overnight Parking,Parking Lot,58.4529884092599,-135.887528809988
East Entrance Parking Lot,Parking Lot,57.049780399846,-135.313992605297
Visitor Center Upper Parking Lot,Parking Lot,57.0492931335149,-135.319330652924
Visitor Center Lower Parking Lot,Parking Lot,57.0488056531837,-135.319407033976
Overnight Parking,Parking Lot,59.5055099643988,-135.348468393722
Exit Glacier Parking Lot,Parking Lot,60.1889155167408,-149.629332622898
Windows Parking,Parking Lot,38.687367048449104,-109.536679840825
Wolfe Ranch Parking,Parking Lot,38.734871431726106,-109.52048838782301
Salt Valley Overlook Parking,Parking Lot,38.740385993473,-109.571109756218
Amphitheater Parking,Parking Lot,38.7762652068512,-109.589336099602
Balanced Rock Parking,Parking Lot,38.7016904791812,-109.56633818597601
Double Arch Parking,Parking Lot,38.688023287895,-109.53882313528099
Devil's Garden Picnic Parking,Parking Lot,38.7794166799925,-109.59299755509001
Double Arch Parking,Parking Lot,38.688009678885706,-109.538654669167
Fiery Furnace Parking,Parking Lot,38.7431934673805,-109.56594574871
Wolfe Ranch Parki Parking,Parking Lot,38.735467753131296,-109.520673235949
Visitor Center Parking,Parking Lot,38.6163319651841,-109.620707714918
La Sal Mountain View Parking,Parking Lot,38.626288207948896,-109.591095241797
Garden Of Eden Parking,Parking Lot,38.6980012426745,-109.55023566903499
Delicate Arch Road Viewpoint Parking,Parking Lot,38.7339001410662,-109.502043296291
Juniper Basin Group Campground Parking,Parking Lot,38.773314287846205,-109.58709090907699
Sand Dunes Arch Parking,Parking Lot,38.764495440854205,-109.583627817724
Campground Parking,Parking Lot,38.7802164045358,-109.59163032716101
Campground Registration Parking,Parking Lot,38.7803381046186,-109.591046732764
Skyline Arch Trailhead Parking,Parking Lot,38.772002441954896,-109.59098485072201
Courthouse Towers Parking,Parking Lot,38.6369902282204,-109.600097049914
Devil's Garden Picnic Parking,Parking Lot,38.77989968332071,-109.59249200874599
Campground Restroom Parking,Parking Lot,38.779392140975794,-109.589911611993
Canyon Wren Group Campground Parking,Parking Lot,38.77682458423129,-109.58920806651501
Devil's Garden Parking,Parking Lot,38.7823029609536,-109.59505445848801
Devil's Garden Parking,Parking Lot,38.7815119994162,-109.59438763503401
Entrance Road Parking,Parking Lot,38.6113260947828,-109.60772252109501
Fiery Furnace Parking,Parking Lot,38.74271987805871,-109.566157381853
Panorama Point Parking,Parking Lot,38.718648939703705,-109.553675673373
Devil's Garden Parking,Parking Lot,38.782713881232795,-109.593292731291
Devil's Garden Parking,Parking Lot,38.7819583207194,-109.59457302416
Park Avenue Parking,Parking Lot,38.624408337671596,-109.599535388532
Petrified Dunes Parking,Parking Lot,38.665635100683204,-109.587515421365
Windows Parking,Parking Lot,38.6872822103915,-109.536600511771
Parking,Parking Lot,29.472429751332303,-101.038020382385
Parking,Parking Lot,29.480207750617105,-101.029506981601
Parking,Parking Lot,29.4765254511151,-101.01500298174601
Parking,Parking Lot,29.475577451471,-101.015150481846
Parking,Parking Lot,29.478151751220103,-101.012261781883
Parking,Parking Lot,29.4718669509499,-101.013364181632
Visitor Centert Parking,Parking Lot,36.83420167231029,-108.00020251986099
Overflow Parking,Parking Lot,36.8338316000589,-108.000760024239
Cultural Resources Building Parking,Parking Lot,36.8336938589653,-108.00051108507
Recreational Vehicle/automobile Parking,Parking Lot,36.8342795913633,-108.001194732535
Amphitheatre Parking Lot,Parking Lot,35.795253593393895,-106.281358267987
Bus and Overflow Parking,Parking Lot,35.7951611653311,-106.28056221844601
Walk-In Campsite Parking,Parking Lot,35.7959151018434,-106.280449600369
Walk-In Campsite Parking,Parking Lot,35.7969716925613,-106.280110195139
Parking Lot,Parking Lot,35.7786916341408,-106.270459522582
Scenic Overlook Parking Lot,Parking Lot,35.7728245701545,-106.26131780137
Cerro Grande Trailhead Parking Lot,Parking Lot,35.847657553000005,-106.422094953611
Parking Lot,Parking Lot,35.84825837740821,-106.4244333832
Alamo Boundary Trailhead Parking Lot,Parking Lot,35.8334278043315,-106.44348587314501
Dome Trailhead Parking Lot,Parking Lot,35.765306339046205,-106.366832927063
Apache Spring Trailhead Parking Lot,Parking Lot,35.8337153015269,-106.37713564606301
Ponderosa Trailhead Parking Lot,Parking Lot,35.8326474778013,-106.356929294334
Parking Lot,Parking Lot,35.8277077044449,-106.211931742815
Burnt Mesa Parking,Parking Lot,35.828211940787604,-106.328996313355
