Code,Name,Latitude,Longitude,Acres,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016,att_2017,att_2018,att_2019,att_2020,att_Average
FOFR,Fort Frederica National Monument,31.223111,-81.389279,275.0184590871719,293041,262235,217580,228103,202191,192906,188089,183591,212330,210892,219096
FOLA,Fort Laramie National Historic Site,42.209167,-104.535861,1161.8047957785088,52916,55199,54057,49038,51616,57444,61513,52414,42892,26066,50316
FOLS,Fort Larned National Historic Site,38.189289,-99.19959,811.4743564967105,26704,33194,27432,24607,32170,31060,29188,29173,26958,21895,28238
FOMA,Fort Matanzas National Monument,29.716366,-81.234059,258.6702898848684,570695,497574,523694,568529,622175,557810,578981,608103,593788,543590,566494
FOMC,Fort McHenry National Monument and Historic Shrine,39.263056,-76.58,55.41025150767544,641254,744076,678431,769300,617890,610987,591861,486113,419545,163224,572268
FOMR,Fort Monroe National Monument,37.003611,-76.3075,410.81665021929825,0,0,0,0,0,0,0,0,0,0,0
FONE,Fort Necessity National Battlefield,39.819078,-79.587852,1103.5556339089912,193479,187893,165159,219546,280705,290021,294145,280970,312104,199801,242382
FOPO,Fort Point National Historic Site,37.767098,-122.465741,28.561566611842107,1338508,1502786,1591312,1677457,1610466,2264154,1532541,1400491,1421349,884538,1522360
FOPU,Fort Pulaski National Monument,32.018264,-80.990196,5366.61315481086,408104,385751,374408,387010,382945,344921,360591,419930,374290,357970,379592
FORA,Fort Raleigh National Historic Site,35.938547,-75.712322,538.0009032346492,282134,281833,263598,264987,289885,292367,274981,261198,248139,153519,261264
FOSC,Fort Scott National Historic Site,37.842788,-94.705509,23.330045230263156,26219,25034,25773,25966,25531,29291,28948,26482,24068,14652,25196
FOSM,Fort Smith National Historic Site,35.387619,-94.4290819,76.06114651864036,86122,87386,69584,88790,111469,163636,141914,136568,125500,67574,107854
FOST,Fort Stanwix National Monument,43.2119731,-75.4547454,22.37737184758772,102874,195057,129089,60819,86678,94006,106936,90507,97412,24134,98751
FOSU,Fort Sumter and Fort Moultrie National Historical Park,32.758321,-79.856317,233.80358792489122,857883,842027,815007,828521,840711,888330,896569,859880,877894,365133,807196
FOUN,Fort Union National Monument,35.846872,-105.018118,781.5526596765351,9575,9215,8965,10934,11726,11953,11676,10860,11063,5334,10130
FOUS,Fort Union Trading Post National Historic Site,48.00016,-104.041483,702.9140899122807,12236,12677,12908,11521,13605,17502,13329,13551,12967,5225,12552
FOVA,Fort Vancouver National Historic Site,45.6252599,-122.6543063,302.33419407894735,710439,681404,733540,803740,818672,1092031,1081489,1098553,1018214,670111,870819
FOWA,Fort Washington Park,38.71312,-77.025503,401.7909847861842,409381,368824,443918,466078,337433,560358,317470,316052,423868,160289,380367
FOBU,Fossil Butte National Monument,41.864444,-110.775833,10652.949104303738,16552,17084,17662,16623,19293,20737,21978,21349,20554,13176,18501
FRDE,Franklin Delano Roosevelt Memorial,38.883889,-77.044444,9.548826069078947,2309708,2764459,2837729,2938239,3290080,4360502,3507402,3288299,3303573,1010986,2961098
FRDO,Frederick Douglass National Historic Site,38.863333000000004,-76.985278,9.849660087719299,46694,53314,47625,45492,53873,67387,76569,70869,61063,10969,53386
FRLA,Frederick Law Olmsted National Historic Site,42.3254655,-71.1320319,9.076711896929824,4022,8668,6570,8667,9473,8935,11388,9854,7791,2570,7794
FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,38.308756,-77.455278,10692.201557017544,908836,982324,880251,873328,891917,969895,919311,926464,906800,838835,909796
FRRI,Freedom Riders National Monument,33.635,-85.908333,8.20722382127193,0,0,0,0,0,0,0,0,0,0,0
FRHI,Friendship Hill National Historic Site,39.819078,-79.587852,812.5844174890351,30039,34289,34372,34317,34687,37847,39377,41678,34159,19462,34023
GAAR,Gates of the Arctic National Park,67.251868,-150.184189,37249925.53830596,11623,10899,11012,12669,10745,10047,11177,9591,10518,2872,10115
