,Code,Name,Latitude,Longitude,Acres,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016,att_2017,att_2018,att_2019,att_2020,att_Average
44,BRVB,Brown v. Board of Education National Historic Site,39.037925,-95.676498,2.047610217,16886,21101,19356,26868,25338,27968,25204,24083,21413,4064,21228
45,BRCA,Bryce Canyon National Park,37.5965706,-112.1787896,35986.975230000004,1296000,1385352,1311875,1435741,1745804,2365110,2571684,2679478,2594904,1464655,1885060
46,BUIS,Buck Island Reef National Monument,17.786939999999998,-64.61916,18987.9403,28223,30436,28972,34400,41936,38929,33082,31411,37085,16032,32051
47,BUFF,Buffalo National River,36.2331995,-93.1060044,93543.25815,1169802,1093083,1125227,1357057,1463304,1785359,1471330,1240119,1326282,1478846,1351041
48,CABR,Cabrillo National Monument,32.674287,-117.23963,160.0093233,813351,877951,856128,893434,981825,959145,997903,842104,761485,523878,850720
49,CANE,Camp Nelson National Monument,37.787778,-84.598056,463.3710823,0,0,0,0,0,0,0,0,0,0,0
50,CANA,Canaveral National Seashore,28.613144,-80.8075783,58460.01493,1005001,994430,1133688,1451225,1689754,1629944,1598586,1657855,1884122,1162950,1420756
51,CARI,Cane River Creole National Historical Park,31.7398039,-93.0835779,205.87400459999998,26996,28310,25556,28981,30882,26863,30117,26879,29922,17430,27194
52,CACH,Canyon de Chelly National Monument,36.154448,-109.552607,88228.00392,828145,828523,828478,827761,813686,821406,825660,439306,460757,76752,675047
53,CANY,Canyonlands National Park,38.5398057,-109.5061713,334248.2128,473773,452952,462242,542431,634607,776218,742271,739449,733996,493914,605185
54,CACO,Cape Cod National Seashore,41.837222,-69.972778,44309.20922,4454771,4441290,4501898,4426750,4503220,4692796,4125418,3926462,4096104,4083505,4325221
55,CAHA,Cape Hatteras National Seashore,35.938547,-75.712322,31131.73586,1960711,2302040,2214565,2153350,2274635,2411711,2433703,2591056,2606632,2648522,2359693
56,CAKR,Cape Krusenstern National Monument,67.45055,-163.5490191,649475.1372,8668,24950,18225,0,0,15000,15000,15087,16226,11369,12453
57,CALO,Cape Lookout National Seashore,34.6881785,-76.526505,28418.373219999998,508116,480294,416568,430927,400413,458000,399357,408399,455526,488331,444593
58,CARE,Capitol Reef National Park,38.291308,-111.262257,244795.0679,668834,673345,663670,786514,941029,1064904,1150165,1227627,1226519,981038,938365
59,CAJO,Captain John Smith National Historic Trail,38.971705,-76.483576,263.44881780000003,0,0,0,0,0,0,0,0,0,0,0
60,CAVO,Capulin Volcano National Monument,36.7810744,-103.9695127,790.5969234,46358,48710,48466,50892,55506,60132,59615,67411,81617,63335,58204
