,name,type,latitude,longitude
138,Persimmon Gap Visitor Center,Visitor Center,29.660034730801,-103.173604561414
139,Panther Junction Visitor Center,Visitor Center,29.3278223720783,-103.205880262344
140,Cal S. Taggert Visitor Center,Visitor Center,44.83747317515721,-108.37666088664601
141,Crooked Creek Ranger Station,Ranger Station,44.9586699195046,-108.290810494315
142,Horseshoe Bend Concessions,Store,44.9579317260031,-108.263063936463
143,Ft Smith Contact Station,Ranger Station,45.30941924782229,-107.92031697658199
144,Horseshoe Bend Picnic Pavilion,Shelter,44.9587655255696,-108.263420082705
145,Horseshoe Bend Picnic Pavilion,Shelter,44.9587280155441,-108.263166917533
146,South Rim Visitor Center,Visitor Center,38.554985428502,-107.686573235764
147,Elk Creek Visitor Center,Visitor Center,38.4669957557172,-107.16579022391701
148,Cimarron Visitor Center,Visitor Center,38.4429517823804,-107.555101743436
149,North Rim Ranger Station,Ranger Station,38.5870242532709,-107.70482648016599
150,East Portal Ranger Station,Ranger Station,38.525967978786,-107.649632610665
151,Morrow Point Dam Welcome Kiosk,Information,38.4527775280565,-107.543666973666
152,Canyon Kiosk,Information,36.1538850380671,-109.535591898086
153,Visitor Center,Visitor Center,32.9947661605943,-111.536710952752
154,Island in the Sky Visitor Center,Visitor Center,38.459899952895896,-109.820983870996
155,Needles Visitor Center,Visitor Center,38.16809087062529,-109.75939939815201
156,Maze Visitor Center,Visitor Center,38.2551270037623,-110.17980955380101
157,Visitor Center,Visitor Center,32.1754761249252,-104.444213849733
158,Visitor Center,Visitor Center,36.7786924155944,-103.979998123321
159,Crater Rim Shelter,Shelter,36.7825109211889,-103.972082914943
160,Cedar Breaks Visitor Center,Visitor Center,37.6130339214902,-112.83756334761999
161,Winter Ranger Station,Ranger Station,37.641917106114995,-112.822309488256
162,Chamizal Visitor Center,Visitor Center,31.7679398490235,-106.453863830196
163,Picnic Table,Shelter,31.767644174822603,-106.45702566134399
164,Picnic Table,Shelter,31.7678072889335,-106.456954463296
165,Picnic Table,Shelter,31.7678799949828,-106.456774568174
166,Picnic Table,Shelter,31.765946616669197,-106.454694831761
167,Picnic Table,Shelter,31.765820924583803,-106.454666045741
168,Picnic Table,Shelter,31.7658163715807,-106.45456316667101
169,Picnic Table,Shelter,31.766620377126998,-106.45438354154899
170,Picnic Table,Shelter,31.7665833181018,-106.454284624482
171,Picnic Table,Shelter,31.766505046048604,-106.45428339948099
172,Visitor Center,Visitor Center,36.0303197341103,-107.91057919096599
173,Information Kiosk,Information,36.0348589161945,-107.89222725549601
174,Veterans Lake Pavillion,Shelter,34.490328528758695,-96.9831588102972
175,Buckhorn Pavillion,Shelter,34.4369619784986,-97.01020185967171
176,Platte,Ranger Station,34.501693977481,-96.9717445035417
177,Buckhorn,Ranger Station,34.4380132552129,-97.008180080298
178,The Point,Ranger Station,34.450706251837204,-97.01935022188749
179,Reso,Ranger Station,34.4969937692874,-96.98108954689121
180,Campground Kiosk,Information Board,39.1044644558472,-108.73291622870501
181,Devils Kitchen Picnic Shelter,Shelter,39.0328458131857,-108.633764782336
182,Book Cliffs View Shelter,Shelter,39.103998558530606,-108.72744795799
183,Campground Loop C Shelter,Shelter,39.1045002778715,-108.728618425785
184,Visitor Center Picnic Shelter,Shelter,39.100703729291894,-108.734701674918
185,Visitor Center,Visitor Center,39.100861580399204,-108.734476752765
186,Information Board,Information Board,44.590380637269405,-104.71998005010401
187,Lower Visitor Center,Visitor Center,40.438169045036794,-109.30699182476299
188,Quarry Visitor Center - Historic,Visitor Center,40.4404858026109,-109.30126497187099
189,Yampa Bench Entrance Information Kiosk,Information,40.4281429892245,-108.65662872487101
190,Harpers Corner Echo Turnoff Information Kiosk,Information,40.4770165304318,-109.09799688176001
191,Quarry Entrance Information Kiosk,Information,40.4323005090494,-109.331056819114
192,Harpers Corner Road Information Kiosk,Information,40.2443731893616,-108.97360209323999
193,Lodore Ranger Station,Ranger Station,40.727333136510204,-108.88699141839199
194,Echo Park Ranger Station,Ranger Station,40.519259097133705,-108.987272507528
195,El Malpais National Monument Information Center (NPS),Visitor Center,34.9914742452636,-108.03667201264
196,El Malpais Conservation Area Visitor Center (BLM),Visitor Center,34.9703703369245,-107.80885629685
197,Ranger Station,Ranger Station,35.0363885077808,-108.33644860232401
198,Visitor Center,Visitor Center,35.0383891721401,-108.348906349788
199,Florissant Fossil Beds Visitor Center,Visitor Center,38.9134869000869,-105.28544495431
200,Visitor Center,Visitor Center,30.5976327888549,-103.891724291343
201,Visitor Center,Visitor Center,42.20368119661929,-104.556008356693
202,Info Sign,Information Map,42.2040649938801,-104.55806799009198
203,Visitor Center,Visitor Center,35.9050428049906,-105.011519469191
204,Visitor Center,Visitor Center,33.2238153792225,-108.24169141094102
205,Visitor Center,Visitor Center,41.6174644273125,-112.55086523682199
206,Visitor Center,Visitor Center,46.406127978984394,-112.736694320084
207,Great Sand Dunes,Visitor Center,37.7330691500486,-105.51236164948999
208,Saint Johns Medical Center,First Aid Station,43.480336824046795,-110.751177381019
209,Leeks Marina & Pizzeria,Food Service,43.930464467887404,-110.639659829248
210,Dornan's Restaurant and Bar,Food Service,43.6574785024063,-110.710509359387
