,name,type,latitude,longitude
4206,Glade Creek Trailhead,Campsite,44.089717049091995,-110.724237985715
4207,Grassy Lake Campsite 8,Campsite,44.1053094646863,-110.768366273698
4208,Grassy Lake Campsite 7,Campsite,44.1003952613474,-110.76023008716999
4209,Grassy Lake Campsite 6,Campsite,44.0978670246296,-110.73596943768601
4210,Grassy Lake Campsite 5,Campsite,44.0869641192215,-110.70949903569999
4211,Grassy Lake Campsite 4,Campsite,44.086218032714605,-110.69922564272
4212,Grassy Lake Campsite 3,Campsite,44.088751655436106,-110.695764288368
4213,Grassy Lake Campsite 1,Campsite,44.10325437929,-110.686045333765
4214,Grassy Lake Campsite 2,Campsite,44.096992269035205,-110.689334592999
4215,Campground Showers,Showers,43.842518084131896,-110.611638261208
4216,Restroom,Restroom,43.616904352838,-110.663239221269
4217,Restroom,Restroom,43.61606331926661,-110.664834069353
4218,Restroom,Restroom,43.6119141454474,-110.67436491482799
4219,Restroom,Restroom,43.612708367987096,-110.671003748545
4220,Restroom,Restroom,43.6132744593717,-110.668911334123
4221,Restroom,Restroom,43.611983506494504,-110.672765869742
4222,Restroom,Restroom,43.6113024160318,-110.67666651739201
4223,Restroom,Restroom,43.611762413344294,-110.67540656553601
4224,Lower Granite Group Site,Campsite,43.6161209403057,-110.877100506578
4225,Bradley Lake,Campsite,43.715956279139206,-110.75327635644501
4226,Outlier Site,Campsite,43.7949156997884,-110.781669916737
4227,Wilcox Point 1,Campsite,43.9925617650796,-110.704720453453
4228,Warm Springs 2B Group Site,Campsite,43.9581095636709,-110.69733427443501
4229,Warm Springs 2A,Campsite,43.9578038744633,-110.698457837198
4230,Elk Island 10,Campsite,43.860890173614905,-110.66583144703002
4231,Elk Island 10 Group Site,Campsite,43.86091234563,-110.66369703458
4232,Little Grassy 4,Campsite,43.8529416552143,-110.72987992754801
4233,Little Mackinaw Bay 11 Group Site,Campsite,43.8890050867177,-110.65631140756201
4234,Little Mackinaw Bay 11,Campsite,43.8887441445404,-110.656159840459
4235,Hermitage Point 9 Group Site,Campsite,43.8572046101107,-110.64174708566601
4236,Deadman's Point 6,Campsite,43.8398830293415,-110.68688205233299
4237,Bearpaw Bay Group Site,Campsite,43.8394978940799,-110.72566407068399
4238,Upper Granite Horse Site,Campsite,43.617044796933406,-110.907936644529
