Code,Park Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
LACH,Lake Chelan NRA,"43,827","40,830","37,315","35,360","32,186","45,514","38,464","38,839","38,785","30,598","38,172"
LACL,Lake Clark NP & PRES,"5,158","11,639","13,000","16,100","17,818","21,102","22,755","14,479","17,157","4,948","14,416"
LAKE,Lake Mead NRA,"6,396,682","6,285,439","6,344,714","6,942,873","7,298,465","7,175,891","7,882,339","7,578,958","7,499,049","8,016,510","7,142,092"
LAMR,Lake Meredith NRA,"734,030","502,457","554,272","692,195","831,374","1,025,613","1,329,076","1,106,233","1,328,340","1,612,784","971,637"
LARO,Lake Roosevelt NRA,"1,523,474","1,781,972","1,254,409","1,180,898","1,170,843","1,253,571","1,304,403","1,276,722","1,358,818","1,519,403","1,362,451"
LAVO,Lassen Volcanic NP,"351,269","407,653","427,409","432,977","468,092","536,068","507,256","499,435","517,039","542,274","468,947"
LABE,Lava Beds NM,"124,113","181,429","105,395","138,499","108,687","127,699","135,286","127,771","109,630","111,258","126,977"
LYBA,LBJ Memorial Grove on the Potomac,"239,058","371,063","294,979","254,167","232,882","260,234","277,403","261,225","244,246","211,228","264,649"
LECL,Lewis & Clark NHP,"191,867","201,704","217,022","244,921","270,410","281,576","293,356","286,349","270,993","161,230","241,943"
LIBO,Lincoln Boyhood NMEM,"108,420","133,550","125,069","99,795","111,711","125,562","143,651","133,850","138,714","110,692","123,101"
LIHO,Lincoln Home NHS,"296,214","295,464","209,405","218,132","233,299","239,719","232,265","197,717","197,816","27,744","214,778"
LINC,Lincoln Memorial,"5,971,220","6,191,361","6,546,518","7,139,072","7,941,771","7,915,934","7,956,117","7,804,683","7,808,182","2,980,075","6,825,493"
LIBI,Little Bighorn Battlefield NM,"312,168","346,327","277,883","281,436","317,782","332,328","296,128","272,591","241,304","97,461","277,541"
LIRI,Little River Canyon NPRES,"225,549","201,109","185,477","224,931","248,135","462,700","367,058","441,177","649,986","802,375","380,850"
CHSC,Little Rock Central High School NHS,"66,106","63,938","114,144","115,908","125,956","129,540","170,413","149,098","168,918","68,497","117,252"
LONG,Longfellow House Washington's HQ NHS,"46,596","52,234","40,554","46,371","50,784","49,697","51,606","60,527","55,012","30,014","48,340"
LOWE,Lowell NHP,"520,452","537,551","517,763","514,524","531,055","541,825","562,498","507,276","481,536","53,954","476,843"
LYJO,Lyndon B. Johnson NHP,"100,056","110,791","82,369","88,427","124,979","140,303","146,119","121,499","111,972","75,322","110,184"
MAWA,Maggie L. Walker NHS,"10,779","8,276","7,013","9,045","7,589","9,589","10,738","10,961","9,602","1,849","8,544"
MACA,Mammoth Cave NP,"483,319","508,054","494,541","522,628","566,895","586,514","587,853","533,206","551,590","290,392","512,499"
MANA,Manassas NBP,"659,740","600,354","538,888","514,140","502,045","534,835","605,577","542,004","510,427","558,036","556,605"
MAPR,Manhattan Project NHP,,,,,,"104,715","89,599","69,543","79,870","11,392","71,024"
MANZ,Manzanar NHS,"79,587","72,831","77,511","77,633","95,327","105,307","114,461","104,081","97,380","65,289","88,941"
MABI,Marsh-Billings-Rockefeller NHP,"29,049","32,403","34,112","39,086","35,003","55,716","46,523","63,886","45,979","23,538","40,530"
MLKM,"Martin Luther King, Jr. Memorial","1,490,358","3,738,336","3,205,654","3,199,136","3,530,401","3,638,208","3,651,093","3,567,434","3,667,562","1,083,671","3,077,185"
MALU,"Martin Luther King, Jr. NHP","666,482","707,514","704,168","766,030","673,728","467,715","584,435","641,801","761,650","198,158","617,168"
MAVA,Martin Van Buren NHS,"19,287","22,062","16,229","19,187","18,547","22,100","22,023","18,642","20,623","11,480","19,018"
MABE,Mary McLeod Bethune Council House NHS,"18,142","6,646","5,686","9,295","8,249","7,149",277,109,"3,788",578,"5,992"
MEMY,Mesa Verde NP,"572,329","488,860","460,237","501,563","547,325","583,527","613,788","563,420","556,203","287,477","517,473"
MIIN,Minidoka NHS,,,,,,,"11,622","11,567","13,647","6,747","10,896"
MIMA,Minute Man NHP,"1,002,833","1,001,207","947,894","1,056,549","964,330","1,049,414","1,023,921","1,014,803","1,017,326","1,083,973","1,016,225"
MIMI,Minuteman Missile NHS,"59,389","75,654","76,261","62,058","100,488","133,895","143,715","139,273","125,776","98,908","101,542"
MISS,Mississippi NRRA,"99,398","106,733","100,111","85,637","127,635","256,944","436,734","417,022","374,682","204,707","220,960"
MNRR,Missouri NRR,"179,983","167,776","169,698","134,760","145,004","148,210","119,816","128,657","129,280","111,602","143,479"
MOJA,Mojave NPRES,"536,006","542,527","549,599","554,560","589,155","585,635","716,604","787,404","841,516","608,633","631,164"
MONO,Monocacy NB,"36,674","47,249","37,647","56,187","64,596","87,547","113,820","84,901","144,969","155,116","82,871"
MOCA,Montezuma Castle NM,"573,731","455,305","389,091","407,017","416,635","392,168","398,174","390,151","376,254","242,028","404,055"
MOCR,Moores Creek NB,"58,118","79,345","72,330","87,774","89,944","83,889","86,747","58,531","77,006","58,786","75,247"
MORR,Morristown NHP,"222,395","294,606","304,941","264,363","218,959","252,514","268,295","279,393","271,330","262,361","263,916"
MORA,Mount Rainier NP,"1,038,229","1,049,178","1,148,552","1,264,259","1,237,231","1,356,913","1,415,867","1,518,491","1,501,621","1,160,754","1,269,110"
MORU,Mount Rushmore NMEM,"2,081,722","2,185,447","2,162,998","2,144,808","2,434,297","2,431,231","2,437,800","2,311,273","1,963,540","2,074,986","2,222,810"
MUWO,Muir Woods NM,"897,131","972,331","954,125","1,049,400","1,099,923","1,123,121","1,062,099","957,932","812,073","324,232","925,237"
NATC,Natchez NHP,"206,624","184,551","191,095","215,257","204,332","204,120","233,339","234,786","182,123","57,646","191,387"
NATR,Natchez Trace PKWY,"5,765,343","5,560,668","6,012,740","5,846,474","5,785,812","5,891,315","6,326,062","6,362,439","6,296,041","6,124,808","5,997,170"
NACA,National Capital Parks Central,"1,240,717","858,700","1,712,858","1,999,232","1,833,085","1,813,222","1,932,762","1,800,329","1,770,794","665,650","1,562,735"
MALL,National Capital Parks East,"1,167,393","923,054","1,091,661","1,311,995","1,220,403","1,224,671","1,366,142","1,447,273","1,210,641","893,421","1,185,665"
NPSA,National Park of American Samoa,"8,716","10,440","17,919","13,953","13,892","28,892","69,468","28,626","60,006","4,819","25,673"
NABR,Natural Bridges NM,"91,184","89,011","82,330","87,119","94,797","101,843","107,443","103,118","88,090","52,542","89,748"
NAVA,Navajo NM,"87,388","58,219","54,168","65,778","71,370","65,705","68,785","61,195","49,983","3,985","58,658"
NEBE,New Bedford Whaling NHP,"273,862","269,885","276,374","272,731","167,790","145,500","166,894","186,937","143,427","18,243","192,164"
JAZZ,New Orleans Jazz NHP,"130,393","177,909","198,363","36,017","58,188","35,514","40,814","54,483","41,049","9,640","78,237"
NERI,New River Gorge NP & PRES,"1,071,088","1,128,195","1,071,823","1,124,799","1,178,753","1,197,931","1,168,658","1,232,627","1,195,721","1,054,374","1,142,397"
NEPE,Nez Perce NHP,"286,259","233,093","297,973","221,439","224,967","239,908","238,424","307,645","216,068","301,473","256,725"
NICO,Nicodemus NHS,"2,681","3,505","3,241","3,374","3,306","3,552","2,916","2,738","3,540",262,"2,912"
NISI,Ninety Six NHS,"70,099","73,044","69,624","65,688","80,223","118,002","113,103","95,550","97,295","95,418","87,805"
NIOB,Niobrara NSR,"65,785","65,999","71,876","53,443","68,110","73,813","80,806","61,639","60,812","102,766","70,505"
NOAT,Noatak NPRES,"11,722","31,000","16,907",0,0,"17,000","17,000","16,387","17,216","12,533","13,977"
NOCA,North Cascades NP,"19,208","26,935","21,623","23,865","20,677","28,646","30,326","30,085","38,208","30,885","27,046"
OBRI,Obed W&SR,"212,458","212,446","198,367","215,767","214,441","231,390","214,783","217,530","221,301","237,837","217,632"
OCMU,Ocmulgee Mounds NHP,"122,722","120,025","115,801","122,799","155,388","162,260","156,907","133,008","146,925","61,303","129,714"
OLYM,Olympic NP,"2,966,502","2,824,908","3,085,340","3,243,872","3,263,761","3,390,221","3,401,996","3,104,455","3,245,806","2,499,177","3,102,604"
ORCA,Oregon Caves NM & PRES,"76,194","78,164","72,717","69,405","72,709","80,613","72,212","67,417","65,006","22,789","67,723"
ORPI,Organ Pipe Cactus NM,"211,405","161,743","206,860","224,548","222,723","234,186","260,534","260,375","263,186","191,512","223,707"
OZAR,Ozark NSR,"1,365,960","1,406,781","1,253,703","1,296,437","1,277,941","1,241,480","1,165,296","1,264,657","1,221,489","1,316,795","1,281,054"
PAIS,Padre Island NS,"542,873","573,855","515,830","578,815","582,839","634,012","650,197","616,033","576,299","617,704","588,846"
PAAL,Palo Alto Battlefield NHP,"24,752","36,707","32,522","41,516","47,866","58,556","84,361","82,488","149,733","97,860","65,636"
PAGR,Paterson Great Falls NHP,,,,,,"177,498","308,199","143,604","276,985","339,768","249,211"
PERI,Pea Ridge NMP,"114,234","131,907","95,251","104,686","114,578","119,490","121,163","101,969","102,753","80,455","108,649"
PERL,Pearl Harbor NMEM,"1,694,896","1,751,224","1,786,024","1,620,814","1,574,156","1,819,020","1,947,495","1,779,143","1,716,535","415,542","1,610,485"
PECO,Pecos NHP,"43,873","45,568","32,386","38,256","30,229","39,715","40,650","39,129","43,834","36,695","39,034"
PAAV,Pennsylvania Avenue NHS,"236,136","283,232","257,831","54,035",0,0,"108,716","119,616","125,035","15,898","120,050"
PEVI,Perry's Victory & Intl. Peace MEM,"93,119","140,281","158,231","129,440","156,578","142,152","84,769","150,557","121,325","40,469","121,692"
PETE,Petersburg NB,"213,261","188,426","190,086","205,572","192,655","191,898","208,473","204,322","235,691","152,878","198,326"
PEFO,Petrified Forest NP,"614,054","664,857","644,648","836,799","793,225","643,274","627,757","644,922","643,588","384,483","649,761"
PETR,Petroglyph NM,"114,428","119,444","115,075","115,859","117,825","124,177","141,803","268,613","293,957","356,492","176,767"
PIRO,Pictured Rocks NL,"561,104","593,587","575,450","527,897","723,178","777,428","781,190","815,308","858,715","1,212,251","742,611"
PINN,Pinnacles NP,"393,219","224,476","237,677","196,635","206,533","215,555","233,334","222,152","177,224","165,740","227,255"
PISP,Pipe Spring NM,"57,360","54,692","51,118","56,484","54,619","46,710","29,065","25,179","27,482","10,623","41,333"
PIPE,Pipestone NM,"61,908","76,030","64,760","62,151","70,748","67,489","76,486","73,267","77,508","38,229","66,858"
PISC,Piscataway Park,"279,060","124,107","161,999","109,473","148,729","123,381","154,011","146,364","329,729","166,484","174,334"
PORE,Point Reyes NS,"2,129,116","2,412,663","2,641,808","2,433,944","2,501,106","2,438,442","2,456,669","2,397,722","2,265,301","2,252,424","2,392,920"
POCH,Port Chicago Naval Magazine NMEM,545,533,596,786,963,"1,942","1,086",653,830,70,800
WICL,President W.J. Clinton Birthplace Home NHS,"9,749","8,932","9,838","11,113","10,463","10,468","10,177","10,845","8,758","4,055","9,440"
PRWI,Prince William Forest Park,"379,535","280,325","309,298","315,072","312,109","344,435","360,540","313,629","339,693","333,903","328,854"
PUHO,Pu'uhonua o Honaunau NHP,"426,224","442,353","363,282","401,808","437,286","421,027","505,735","462,974","414,410","130,845","400,594"
PUHE,Pu'ukohola Heiau NHS,"133,306","134,403","125,645","134,734","139,586","138,565","147,259","145,585","133,573","23,970","125,663"
RABR,Rainbow Bridge NM,"92,311","75,214","54,773","62,910","77,270","86,369","108,418","110,904","115,108","3,573","78,685"
REDW,Redwood NP,"380,167","352,517","393,364","429,166","527,143","536,297","445,000","482,536","504,722","265,177","431,609"
RICH,Richmond NBP,"139,376","156,952","151,240","179,552","184,175","208,969","224,014","199,344","197,242","179,598","182,046"
RIGR,Rio Grande W&SR,873,694,703,321,120,463,399,330,324,126,435
RIRA,River Raisin NBP,"36,206","50,667","57,464","55,281","109,118","202,375","238,813","240,548","226,354","309,977","152,680"
ROCR,Rock Creek Park,"2,050,490","2,003,385","1,968,995","2,437,948","2,443,772","2,478,735","2,483,788","2,395,342","2,416,232","1,768,152","2,244,684"
ROMO,Rocky Mountain NP,"3,176,941","3,229,617","2,991,141","3,434,751","4,155,916","4,517,585","4,437,215","4,590,493","4,670,053","3,305,199","3,850,891"
ROWI,Roger Williams NMEM,"50,909","51,944","48,677","51,523","60,505","65,588","80,970","60,709","59,419","13,971","54,422"
RORI,Rosie The Riveter WWII Home Front NHP,,,"31,514","45,549","56,362","64,425","60,927","57,852","50,404","9,528","47,070"
ROLA,Ross Lake NRA,"728,353","742,200","725,917","710,612","772,579","905,418","759,656","892,044","1,088,528","920,526","824,583"
RUCA,Russell Cave NM,"20,717","20,954","20,456","18,530","19,430","24,649","24,377","21,620","16,642","8,462","19,584"
SAHI,Sagamore Hill NHS,"53,336","20,097","14,639","19,319","42,326","53,920","55,186","39,970","36,738","105,289","44,082"
SAGU,Saguaro NP,"610,045","634,286","678,261","673,572","753,446","820,426","964,760","957,405","1,020,226","762,226","787,465"
SACR,Saint Croix Island IHS,,,"10,709","11,588","12,557","13,857","11,872","12,001","11,613","6,914","11,389"
SACN,Saint Croix NSR,"273,729","221,028","342,942","671,582","623,122","708,258","772,475","724,644","638,258","798,622","577,466"
SAPA,Saint Paul's Church NHS,"14,926","16,188","14,016","16,460","17,180","20,830","21,190","21,630","18,537","5,968","16,693"
SAGA,Saint-Gaudens NHP,"32,695","33,663","37,837","37,785","39,242","42,377","37,556","35,218","31,759","13,286","34,142"
SAMA,Salem Maritime NHS,"737,073","756,038","426,328","403,758","264,780","371,989","373,630","300,475","339,238","125,554","409,886"
SAPU,Salinas Pueblo Missions NM,"29,786","29,228","24,836","30,537","29,672","32,414","35,148","34,629","31,672","26,982","30,490"
SARI,Salt River Bay NHP & Ecological Pres,"2,419","5,217","4,791","5,192","8,108","16,449","10,567","4,884","5,215","2,704","6,555"
SAAN,San Antonio Missions NHP,"568,021","614,810","521,705","1,395,337","1,322,154","1,358,911","1,381,383","1,208,104","1,281,121","1,141,353","1,079,290"
SAFR,San Francisco Maritime NHP,"4,224,897","4,129,983","4,154,455","4,256,888","4,173,014","4,334,752","4,493,519","4,223,542","4,016,598","1,936,101","3,994,375"
SAJH,San Juan Island NHP,"266,717","261,139","220,960","268,946","258,668","316,122","267,209","255,032","292,507","426,335","283,364"
SAJU,San Juan NHS,"1,229,590","1,279,814","1,328,802","1,382,906","1,532,818","1,456,553","1,188,780","910,405","1,197,345","357,100","1,186,411"
SAND,Sand Creek Massacre NHS,"3,935","4,384","4,795","7,402","5,887","6,847","6,535","6,006","5,701","4,215","5,571"
SAMO,Santa Monica Mountains NRA,"609,636","649,471","633,054","694,714","797,126","906,606","897,593","867,154","707,566","733,576","749,650"
SARA,Saratoga NHP,"65,043","57,688","54,364","58,773","65,010","102,808","97,781","135,444","145,118","73,825","85,585"
SAIR,Saugus Iron Works NHS,"11,121","11,611","8,154","11,181","9,327","11,159","12,256","10,660","8,150","16,928","11,055"
SCBL,Scotts Bluff NM,"128,811","122,515","108,127","119,159","131,122","130,085","152,560","142,028","166,007","181,900","138,231"
SEQU,Sequoia NP,"1,006,583","1,106,584","909,274","1,039,137","1,097,464","1,254,688","1,291,256","1,229,594","1,246,053","796,086","1,097,672"
SHEN,Shenandoah NP,"1,209,883","1,210,200","1,136,505","1,255,321","1,321,873","1,437,341","1,458,874","1,264,880","1,425,507","1,666,265","1,338,665"
SHIL,Shiloh NMP,"387,816","587,620","536,206","409,086","356,535","421,862","435,107","376,099","360,989","386,883","425,820"
SITK,Sitka NHP,"186,864","195,157","161,157","157,297","185,150","217,141","194,880","197,017","232,876","115,494","184,303"
SLBE,Sleeping Bear Dunes NL,"1,348,304","1,531,560","1,340,007","1,395,401","1,535,633","1,683,553","1,678,126","1,643,600","1,570,001","1,718,696","1,544,488"
SPAR,Springfield Armory NHS,"16,161","16,978","17,782","20,595","21,825","22,434","25,109","20,104","20,979","1,032","18,300"
STLI,Statue of Liberty NM,"3,749,982","3,029,443","1,883,544","4,198,815","4,279,020","4,501,547","4,441,988","4,335,431","4,240,461","576,396","3,523,663"
STEA,Steamtown NHS,"111,725","106,309","81,174","84,257","89,592","99,660","103,956","97,950","105,403","27,322","90,735"
STRI,Stones River NB,"187,208","260,537","258,242","272,499","264,925","346,213","230,562","266,503","284,516","301,270","267,248"
STON,Stonewall NM,,,,,,,"106,791","511,220","2,088,929",0,"676,735"
SUCR,Sunset Crater Volcano NM,"185,265","177,793","184,864","176,723","182,203","60,233","119,454","104,583","108,379","83,669","138,317"
TAPR,Tallgrass Prairie NPRES,"17,893","18,918","16,128","17,776","29,558","29,378","30,773","27,715","33,750","29,009","25,090"
THKO,Thaddeus Kosciuszko NMEM,"1,949","2,045","1,682","1,475","1,261","2,794","2,293","2,077","1,921",0,"1,750"
THRB,Theodore Roosevelt Birthplace NHS,"6,537","17,930","18,676","21,065","6,685","6,582","24,884","23,155","25,978","4,984","15,648"
THRI,Theodore Roosevelt Inaugural NHS,"17,107","18,875","19,198","22,025","24,896","29,199","28,585","27,508","26,994","5,098","21,949"
THIS,Theodore Roosevelt Island,"137,690","149,754","162,599","146,500","159,740","164,360","168,195","151,500","151,500","153,598","154,544"
THRO,Theodore Roosevelt NP,"563,407","640,555","545,090","559,580","580,033","753,880","708,003","749,389","691,658","551,303","634,290"
EDIS,Thomas Edison NHP,"55,284","52,554","46,677","51,344","56,317","57,694","59,323","47,297","42,224","7,605","47,632"
JEFM,Thomas Jefferson MEM,"1,945,696","2,613,131","2,609,463","2,708,607","3,102,442","3,414,345","3,366,571","3,198,859","3,096,895","852,626","2,690,864"
THST,Thomas Stone NHS,"6,351","6,426","6,013","5,843","5,772","10,652","10,250","8,254","8,020","2,351","6,993"
TICA,Timpanogos Cave NM,"96,965","118,764","91,269","95,679","104,023","91,261","100,740","121,311","103,512","92,481","101,601"
TIMU,Timucuan EHP,"1,028,922","1,076,310","1,031,667","1,121,318","1,239,423","1,148,494","1,218,306","1,134,857","1,205,065","1,017,373","1,122,174"
TONT,Tonto NM,"53,426","51,881","39,632","36,360","37,523","38,048","40,898","39,822","28,853","24,756","39,120"
TUMA,Tumacacori NHP,"33,740","35,158","31,433","38,017","42,146","43,829","46,308","40,810","39,704","23,726","37,487"
TUAI,Tuskegee Airmen NHS,"16,244","23,716","19,301","24,319","22,662","31,133","39,322","26,829","30,097","6,843","24,047"
TUIN,Tuskegee Institute NHS,"23,288","24,030","47,766","11,786","7,961","8,452","20,407","37,486","36,395","4,737","22,231"
TUZI,Tuzigoot NM,"101,104","97,388","85,746","74,903","95,065","104,604","109,388","98,090","98,538","78,358","94,318"
ULSG,Ulysses S. Grant NHS,"35,664","39,373","38,604","40,287","39,048","46,071","59,761","43,602","39,449","15,236","39,710"
UPDE,Upper Delaware S&RR,"270,390","255,586","228,464","230,845","243,246","264,362","253,537","220,966","215,537","250,198","243,313"
VALL,Valles Caldera NPRES,,,,,,,,,,"30,434","30,434"
VAFO,Valley Forge NHP,"1,303,046","1,442,750","1,962,889","1,990,881","2,143,965","2,428,724","2,159,592","1,881,362","2,259,944","2,012,832","1,958,599"
VAMA,Vanderbilt Mansion NHS,"367,680","423,107","372,569","398,447","431,961","387,856","360,436","340,870","326,822","217,231","362,698"
VICK,Vicksburg NMP,"796,035","573,262","573,838","550,874","532,444","508,914","475,074","474,387","576,456","176,236","523,752"
VIVE,Vietnam Veterans MEM,"4,020,127","4,424,407","4,142,721","4,403,467","5,597,077","5,299,713","5,072,589","4,719,148","4,580,587","1,585,525","4,384,536"
VIIS,Virgin Islands NP,"442,414","483,341","438,601","426,930","438,372","411,343","304,408","112,287","133,398","167,540","335,863"
VOYA,Voyageurs NP,"177,184","214,841","233,390","239,160","238,313","241,912","237,250","239,656","232,974","263,091","231,777"
WACO,Waco Mammoth NM,,,,,"20,551","69,510","101,792","106,932","111,331","46,457","76,096"
WACA,Walnut Canyon NM,"125,003","110,748","125,267","135,230","153,322","152,444","165,134","167,736","152,333","107,422","139,464"
WAPA,War in the Pacific NHP,"482,391","255,923","266,267","266,191","322,463","488,988","384,610","387,856","432,213","318,711","360,561"
WAMO,Washington Monument,"430,153",0,0,"423,170","493,550","252,677",0,0,"108,410","83,585","179,155"
WABA,Washita Battlefield NHS,"10,995","10,615","8,434","13,186","12,067","12,312","11,831","13,437","9,119","12,520","11,452"
WEFA,Weir Farm NHS,"22,415","21,465","22,862","34,082","47,220","39,079","38,096","35,382","38,700","25,430","32,473"
WHIS,Whiskeytown NRA,"761,710","814,374","776,025","851,901","843,845","875,565","832,063","585,768","687,159","805,295","783,371"
WHHO,White House,"1,356,208","1,257,032","889,692","1,293,314","1,429,424","1,600,631","1,917,638","1,521,711","1,170,028","484,052","1,291,973"
WHSA,White Sands NP,"428,924","447,385","490,544","503,660","497,506","555,793","612,468","603,008","608,785","415,383","516,346"
WHMI,Whitman Mission NHS,"57,611","60,785","57,686","58,499","39,525","50,148","47,757","49,274","48,481","34,933","50,470"
WIHO,William Howard Taft NHS,"21,141","19,416","21,102","23,609","24,385","30,723","37,425","30,202","32,396","11,100","25,150"
WICR,Wilson's Creek NB,"192,865","167,205","157,309","161,058","161,004","183,698","206,346","220,276","232,838","287,260","196,986"
WICA,Wind Cave NP,"538,394","529,083","516,142","547,022","612,198","617,377","619,924","656,397","615,350","448,405","570,029"
WOTR,Wolf Trap NP for the Performing Arts,"425,177","426,996","441,166","388,283","407,351","437,513","424,364","365,540","402,580","30,073","374,904"
WORI,Women's Rights NHP,"25,426","29,585","30,137","30,254","38,139","52,683","61,806","42,784","39,064","8,237","35,812"
WWII,World War II Memorial,"3,752,172","4,161,685","3,934,166","4,230,793","5,068,224","4,856,532","4,876,842","4,652,865","4,831,327","1,924,128","4,228,873"
WRST,Wrangell-St. Elias NP & PRES,"65,225","87,158","69,984","74,722","80,366","79,047","68,292","79,450","74,518","16,655","69,542"
WRBR,Wright Brothers NMEM,"445,455","466,816","447,796","430,517","437,184","458,776","414,244","360,669","400,135","277,963","413,956"
WUPA,Wupatki NM,"216,165","201,365","190,878","195,962","212,828","223,172","236,454","205,122","187,059","146,074","201,508"
YELL,Yellowstone NP,"3,394,326","3,447,729","3,188,030","3,513,484","4,097,710","4,257,177","4,116,524","4,115,000","4,020,288","3,806,306","3,795,657"
YOSE,Yosemite NP,"3,951,393","3,853,404","3,691,191","3,882,642","4,150,217","5,028,868","4,336,890","4,009,436","4,422,861","2,268,313","3,959,522"
YUCH,Yukon-Charley Rivers NPRES,"1,718","1,393","3,914","2,329","1,133","1,146",952,"1,272","1,114",666,"1,564"
ZION,Zion NP,"2,825,505","2,973,607","2,807,387","3,189,696","3,648,846","4,295,127","4,504,812","4,320,033","4,488,268","3,591,254","3,664,454"
,,,,,,,,,,,,
,,,,,,,,,,,,
